county,Date,Beds Available,Beds Occupied,Date
Butte,April,107.0,0,2020-04-30
Butte,June,0.0,0,2020-06-24
Butte,May,250.0,0,2020-05-31
Contra Costa,April,250.0,0,2020-04-30
Contra Costa,August,0.0,0,2020-08-31
Contra Costa,July,0.0,0,2020-07-31
Contra Costa,June,250.0,0,2020-06-30
Contra Costa,May,500.0,0,2020-05-31
Contra Costa,October,0.0,0,2020-10-15
Contra Costa,September,0.0,0,2020-09-30
Fresno,April,125.0,0,2020-04-30
Fresno,August,0.0,0,2020-08-31
Fresno,July,0.0,0,2020-07-31
Fresno,June,125.0,0,2020-06-30
Fresno,May,250.0,0,2020-05-31
Fresno,October,0.0,0,2020-10-16
Fresno,September,0.0,0,2020-09-30
Humboldt,April,0.0,0,2020-04-30
Humboldt,May,0.0,0,2020-05-05
Imperial,August,78.0,9,2020-08-31
Imperial,July,112.0,19,2020-07-31
Imperial,June,125.0,17,2020-06-30
Imperial,May,125.0,4,2020-05-31
Imperial,October,-2.0,2,2020-10-16
Imperial,September,-2.0,2,2020-09-30
Los Angeles,April,250.0,20,2020-04-30
Los Angeles,August,0.0,0,2020-08-17
Los Angeles,July,0.0,0,2020-07-31
Los Angeles,June,175.0,0,2020-06-30
Los Angeles,May,350.0,44,2020-05-31
Marin,August,231.0,77,2020-08-09
Marin,July,177.0,185,2020-07-31
Orange,April,100.0,4,2020-04-30
Orange,August,65.0,23,2020-08-31
Orange,July,47.0,23,2020-07-31
Orange,June,250.0,14,2020-06-30
Orange,May,300.0,18,2020-05-31
Orange,October,0.0,0,2020-10-16
Orange,September,65.0,13,2020-09-30
Riverside,April,125.0,0,2020-04-30
Riverside,August,0.0,0,2020-08-31
Riverside,July,0.0,0,2020-07-31
Riverside,June,125.0,0,2020-06-30
Riverside,May,500.0,0,2020-05-31
Riverside,October,0.0,0,2020-10-16
Riverside,September,0.0,0,2020-09-30
Sacramento,April,328.0,0,2020-04-30
Sacramento,August,0.0,0,2020-08-31
Sacramento,July,0.0,0,2020-07-31
Sacramento,June,68.0,2,2020-06-30
Sacramento,May,656.0,10,2020-05-31
Sacramento,October,0.0,0,2020-10-16
Sacramento,September,0.0,0,2020-09-30
San Diego,April,0.0,0,2020-04-30
San Diego,August,0.0,0,2020-08-31
San Diego,July,0.0,0,2020-07-31
San Diego,June,200.0,0,2020-06-30
San Diego,May,400.0,0,2020-05-31
San Diego,October,0.0,0,2020-10-16
San Diego,September,0.0,0,2020-09-30
San Francisco,April,11.0,0,2020-04-30
San Francisco,August,0.0,0,2020-08-31
San Francisco,July,0.0,0,2020-07-31
San Francisco,June,0.0,0,2020-06-30
San Francisco,May,22.0,0,2020-05-20
San Francisco,October,0.0,0,2020-10-16
San Francisco,September,0.0,0,2020-09-30
San Mateo,April,120.0,16,2020-04-30
San Mateo,August,112.0,15,2020-08-31
San Mateo,July,108.0,26,2020-07-31
San Mateo,June,120.0,14,2020-06-30
San Mateo,May,500.0,20,2020-05-31
San Mateo,October,0.0,0,2020-10-16
San Mateo,September,0.0,0,2020-09-30
Santa Clara,April,250.0,8,2020-04-30
Santa Clara,June,0.0,0,2020-06-24
Santa Clara,May,250.0,0,2020-05-31
Shasta,April,0.0,0,2020-04-30
Shasta,June,0.0,0,2020-06-24
Shasta,May,0.0,0,2020-05-31
Tulare,April,33.0,0,2020-04-30
Tulare,August,46.0,18,2020-08-31
Tulare,July,50.0,22,2020-07-31
Tulare,June,71.0,1,2020-06-30
Tulare,May,142.0,2,2020-05-31
Tulare,October,0.0,0,2020-10-16
Tulare,September,50.0,8,2020-09-30
